gene	SRR6819014	SRR6819015	SRR6819016	SRR6819017	SRR6819018	SRR6819019	SRR6819020	SRR6819021	SRR6819022	SRR6819023
FUN_001995	6.03973242539977	6.16124961504449	6.05613400182887	5.96620127239373	5.83230268023982	6.05313940444968	5.91568673639759	5.3230219175294	5.86185923017199	5.89168861206768
FUN_002558	5.62098639996197	5.53263267013129	5.96824994890392	5.55883548918176	3.57344376720355	3.8703912682376	5.28852287667427	2.29367472783307	0	2.27758105513867
FUN_003557	8.71375086566298	8.87559630430659	8.63723324933604	8.58091678898044	9.08179428162264	9.03649972371089	8.95448094134856	9.19203105130573	8.98652459727832	9.0659852562258
FUN_004419	8.60071509103601	8.27428417183781	8.68855307712214	8.8165064844694	7.84089765511989	7.85624638050201	8.48961475866301	7.43890906838203	7.73670077148337	7.98348458466884
FUN_004906	9.39441477128363	9.25215351856061	9.49571895000907	9.39079364657277	9.4185971603443	9.68803101496088	9.77449428714698	9.46966286551806	9.64599294205428	9.6115312081076
FUN_005167	4.00600742080192	4.31894285291162	3.14807370763595	4.24357537647325	5.54841195087936	4.56734963676766	5.61957820979213	4.93842965021262	5.38632134404074	5.25563478793908
FUN_005512	9.2661398624014	9.40342144962685	8.67935696171747	9.32600965187264	9.06426851134248	9.32505276292054	9.8673854013989	9.38965416439988	9.48909912625598	9.28651196816629
FUN_005804	4.73408622333251	4.07029332720355	0	4.51018017239265	4.72486850273843	3.19773354918572	4.8581438098649	3.83494529187808	4.38951736416779	4.80428601085198
FUN_008645	4.13532469408654	4.07029332720355	4.89904393161065	3.1193160671486	4.26110091817802	3.67903712637042	4.80132123725059	4.60988514048343	4.95135104497698	3.85501801719218
FUN_009466	5.32817529298712	6.20310046487772	6.26726510178864	6.30704977596197	6.03783149149316	5.29096817167391	5.86112852583704	5.43138112420483	5.4772733271964	5.93770709513827
FUN_009781	4.56072381855652	4.07029332720355	4.89904393161065	5.63522628977871	5.1946229067579	4.62159085469044	4.6160488263003	4.30265263669511	4.56565821131433	4.73647610286647
FUN_012103	4.73408622333251	4.53097183107034	4.69515423946725	3.64784838122913	5.07526366258947	5.35640640631265	4.6160488263003	4.51456350417273	4.81850304384519	4.77077942244309
FUN_009898	5.93703956089569	5.77389611372061	5.90653799481205	6.10698055845223	5.88649439386637	5.25710124778481	5.28852287667427	5.43138112420483	5.76890322569847	5.79499915667435
FUN_012194	5.15597405627569	5.62789584928844	4.45763135401327	4.51018017239265	5.57065026969672	5.90792014199517	4.91281289584374	5.14350354564772	6.05140006129191	5.3719335054782
FUN_012860	3.863947070988	4.24072644901838	4.06431581197605	3.64784838122913	2.21252486256059	1.8972612725458	3.8521557890341	2.29367472783307	3.04577854512088	3.12056530016343
FUN_012913	0	5.20205717811596	5.13259400206787	4.92966826938561	4.51154031576757	3.19773354918572	3.73567814733983	3.75378725591012	3.45675895338434	3.72108493710492
FUN_012795	8.22555409537585	7.96937119497996	8.4003322036471	8.1957945289515	7.67118739466679	7.84489102903748	7.77020399531617	7.90608289831914	7.75499367959332	7.76690580238166
FUN_013223	5.62098639996197	5.98053421479854	6.40752709170141	6.39755854597881	5.47956316739675	6.03326750291069	6.09186599091969	6.1390192557036	6.10942336294463	5.99686708367406
FUN_013084	8.31016754508183	8.11897774436523	8.1833056033441	7.83192709196936	7.91229399313616	7.86751305232869	7.87028599245657	7.83388039593262	7.80267027477555	7.95765949131329
FUN_005890	8.03152204898245	8.09138657711881	8.25933355503419	8.3108932095166	8.39911882308929	8.35357960407656	8.48511185964445	8.46055029124917	8.51813282491195	8.44833191088305
FUN_006076	11.5876055229883	11.6057293078525	11.2396510653854	11.4326392527375	10.7666088728012	10.6606855299964	11.5607497972801	10.7408849387125	11.0506785762184	10.9384953798838
