gene_id,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_018954,38,59,54,57,123,71,60,112,77,122
FUN_018381,463,739,482,670,1150,949,700,1037,902,1448
FUN_019163,213,407,320,310,457,387,359,379,376,603
FUN_019025,283,367,379,301,455,378,334,269,410,534
FUN_019218,267,386,308,308,584,504,473,586,496,683
FUN_019373,147,269,220,247,529,389,279,575,480,535
FUN_015749,5552,4120,2655,687,803,289,1990,8,21,1881
FUN_015914,18967,12802,12311,2009,2939,594,3453,12,35,6430
FUN_020310,830,1166,1170,1120,1379,1338,914,1309,1121,1415
FUN_019969,0,22,12,0,0,10,0,42,0,0
FUN_019761,2000,1778,1454,2085,974,1361,2577,609,692,1226
FUN_020043,128,199,162,207,289,196,205,344,282,316
FUN_020124,238,351,364,330,339,314,219,346,275,385
FUN_020181,1580,2133,1934,1810,3964,3328,2304,3622,3693,4650
FUN_020238,533,783,1009,835,1632,1441,864,1571,1230,2017
FUN_020973,0,2,0,0,4,0,0,2,0,3
FUN_020751,606,643,576,497,117,235,640,49,57,106
FUN_020808,489,382,470,316,142,234,493,123,83,210
FUN_021525,53,100,44,26,1071,587,70,1104,796,951
FUN_021389,317,474,386,398,969,670,626,1025,756,971
FUN_021451,211,270,311,254,288,295,236,271,218,431
FUN_021479,296,344,435,355,633,484,333,620,375,751
FUN_021636,437,592,435,480,740,624,543,761,711,960
FUN_021742,91,86,107,126,205,177,112,190,208,224
FUN_021837,1051,1246,859,1418,1637,965,1228,1027,912,1307
FUN_022209,0,0,0,0,0,0,0,0,0,1
FUN_022030,172,180,147,149,111,106,158,20,48,240
FUN_022148,65,64,50,69,57,37,77,9,0,112
FUN_022674,0,0,0,0,0,0,0,0,2,0
FUN_022563,55,43,27,48,69,71,76,73,74,104
FUN_022725,350,537,496,453,838,612,500,592,607,1014
FUN_022826,590,880,774,879,1507,1065,919,1457,1157,1653
FUN_022882,122,102,149,86,215,139,67,168,116,221
FUN_022914,230,321,278,275,389,359,213,494,335,450
FUN_023063,1554,2089,1504,2108,2928,2240,1993,3194,2566,3287
FUN_023452,3,3,2,7,8,9,6,9,10,15
FUN_023527,21,20,9,18,34,37,23,29,21,30
FUN_023196,452,837,621,640,1234,1136,544,1170,844,1236
FUN_023288,233,364,145,301,457,356,263,376,283,529
FUN_023776,348,563,332,403,541,537,428,553,451,664
FUN_023895,182,277,328,310,429,243,242,384,297,401
FUN_023946,54,163,97,90,104,127,78,110,153,153
FUN_024472,189,274,214,228,531,344,217,391,464,580
FUN_024493,16,28,13,18,34,19,21,29,39,33
FUN_024503,1184,1703,1366,1172,2121,1647,1461,1982,1937,2589
FUN_024780,12,0,0,5,0,6,4,3,4,3
FUN_024621,996,1367,489,894,2007,1570,1648,2142,2309,2631
FUN_024844,668,860,773,686,1709,1366,885,1509,1146,1557
FUN_024937,54,60,51,51,214,131,96,224,110,235
FUN_024879,535,941,1255,798,3808,1639,775,4529,3001,2894
FUN_024992,4,7,0,0,0,5,11,0,0,0
FUN_025070,229,409,185,210,349,300,317,324,317,461
FUN_025373,0,11,9,5,13,9,0,11,10,11
FUN_025298,634,1012,750,643,1161,739,1020,818,856,1150
FUN_025510,161,131,136,86,173,229,228,149,179,183
FUN_025446,1131,1779,1897,1885,2440,2093,1723,2411,2054,2541
FUN_025549,67,166,121,75,239,346,105,279,291,330
FUN_025579,59,181,139,74,253,366,111,319,402,407
FUN_025630,49,46,24,28,30,19,55,51,25,51
FUN_025726,403,578,524,549,1196,984,776,1158,996,1297
FUN_030632,123,165,181,196,242,215,179,244,226,302
FUN_025825,169,277,277,382,544,464,274,422,379,567
FUN_025880,755,749,426,685,168,444,786,112,112,307
FUN_025992,0,0,2,0,0,2,0,0,2,0
FUN_026006,1425,2089,1107,1118,1991,1495,1548,1738,1743,2140
FUN_026396,163,154,67,136,278,236,171,294,236,303
FUN_026441,24,22,0,27,45,32,30,40,34,38
FUN_026537,14,19,13,12,24,29,18,28,28,23
FUN_001552,42,86,82,73,124,95,68,63,76,138
FUN_002266,6,24,9,8,18,14,13,16,15,30
FUN_002554,5,7,0,5,11,7,4,5,9,18
FUN_026064,149,289,214,159,329,226,203,287,257,362
FUN_026140,23,30,9,17,21,12,12,22,7,33
FUN_026192,58,109,32,74,96,68,106,112,84,139
FUN_026255,3,2,0,0,7,10,3,9,1,5
FUN_026268,108,164,58,122,171,123,171,191,176,224
FUN_026302,32,31,22,21,92,52,58,98,55,79
FUN_026328,101,119,66,105,149,141,133,126,116,174
FUN_026358,922,1302,717,797,1472,1230,1035,1390,1305,1757
FUN_003040,409,510,467,388,968,726,468,915,676,1201
FUN_003327,46,55,76,54,95,73,63,73,78,110
FUN_004516,147,203,184,174,353,216,198,264,242,289
FUN_008857,2,0,0,1,3,1,1,1,0,2
FUN_008888,6,14,3,12,5,15,4,3,6,15
FUN_007458,0,7,0,3,0,5,0,0,17,3
FUN_008674,27,28,5,17,51,72,50,31,47,87
FUN_030633,720,1157,1004,869,1265,1021,1018,1175,1144,1528
FUN_003739,5759,9070,6203,6448,8401,7402,6793,7835,8117,10771
FUN_011682,159,215,171,208,317,284,232,347,279,375
FUN_011936,309,327,229,278,439,316,382,513,409,506
FUN_012111,265,287,245,229,498,381,247,483,404,536
FUN_017441,0,12,9,6,0,0,3,15,8,8
FUN_030635,8,6,12,0,14,6,3,13,4,11
FUN_017600,0,0,0,0,6,0,0,0,0,3
FUN_018275,169,295,247,238,430,400,273,374,327,518
FUN_018868,495,610,513,565,1091,737,599,1053,846,1119
FUN_013500,0,21,13,35,27,27,24,23,17,22
FUN_016519,0,3,0,0,0,0,0,0,0,11
FUN_030634,329,516,631,559,883,711,469,886,670,959
FUN_012868,772,972,510,804,1691,1220,1044,1790,1535,1904
FUN_013138,12,54,24,33,46,28,32,23,39,43
FUN_013277,1443,1838,1676,1872,2356,1687,1606,2054,1490,2377
FUN_013378,8,12,10,0,13,7,7,4,6,9
FUN_013772,201,391,298,608,165,295,236,92,19,212
FUN_014146,445,544,534,593,612,561,580,552,504,676
FUN_014620,121,210,195,117,314,207,140,290,225,306
FUN_015046,266,534,345,397,523,464,323,407,333,522
FUN_015387,548,882,590,712,1701,1514,1103,1808,1551,1898
FUN_015856,150,262,388,218,514,436,254,392,408,425
FUN_016342,25,30,9,0,26,56,10,20,20,35
FUN_016582,1679,2507,2392,2245,3528,2377,2478,3597,2624,3569
FUN_025815,13,146,17,169,8,98,14,21,17,34
FUN_025874,22,42,27,19,51,50,24,35,39,41
FUN_025886,61,113,51,100,229,182,159,209,144,286
FUN_025645,201,238,235,285,473,373,307,491,395,499
FUN_025672,764,831,963,797,1121,869,802,1074,874,1362
FUN_025685,412,600,412,460,934,713,713,990,825,1074
FUN_019573,0,0,6,0,0,0,0,3,0,0
FUN_020662,0,0,0,0,0,0,0,0,0,0
FUN_020810,0,0,0,3,0,0,0,0,0,4
FUN_023508,0,0,0,0,0,0,3,0,0,5
FUN_024400,0,0,0,0,0,0,0,0,0,0
FUN_025118,0,5,0,2,3,0,0,5,0,13
FUN_025162,0,2,0,3,0,1,2,4,1,3
FUN_025412,0,0,2,3,1,4,2,1,4,4
FUN_019280,685,1127,1101,1015,1712,1233,974,1846,1273,1787
FUN_019325,1244,1433,1530,923,5117,3432,1989,5265,3944,6205
FUN_019445,78,88,38,68,83,60,62,42,65,87
FUN_019456,82,121,53,48,96,71,89,61,74,98
FUN_019728,144,236,42,88,153,128,147,183,181,160
FUN_019884,15,0,0,0,0,11,0,14,0,0
FUN_020173,36,40,6,10,28,14,25,35,35,28
FUN_020469,8290,13313,6526,8698,12987,10234,8712,11671,10184,15067
FUN_020380,3,4,11,3,1,2,4,2,2,1
FUN_020854,85,82,101,119,256,216,176,267,196,326
FUN_020915,1312,1565,1481,1369,2534,2036,1805,2428,1961,2635
FUN_021185,35,68,9,39,72,61,63,108,105,135
FUN_021281,315,607,409,331,730,756,518,871,913,1046
FUN_021564,71,280,191,275,148,149,299,191,116,169
FUN_021715,748,1113,737,848,2057,1395,1116,1858,1621,2168
FUN_022451,433,582,321,364,821,555,521,601,647,932
FUN_022730,3,11,0,4,5,10,6,4,10,14
FUN_023468,3,6,5,5,20,0,8,13,12,23
FUN_024224,630,800,676,720,1228,942,841,1095,846,1383
FUN_024305,275,365,371,353,646,538,394,600,478,683
FUN_024803,13,12,3,13,23,23,54,48,41,52
FUN_024865,458,815,963,911,882,697,847,805,681,923
FUN_024932,746,1148,849,853,1426,1011,929,1166,1033,1520
FUN_025027,13,28,7,17,19,28,24,19,17,39
FUN_025202,26,67,19,32,108,62,30,69,61,120
FUN_025243,276,437,275,272,742,650,402,417,403,930
FUN_025355,349,489,457,471,826,640,488,775,662,839
FUN_025973,274,404,284,336,464,363,414,476,346,488
FUN_026023,35,66,18,59,47,62,77,57,72,133
FUN_025926,3548,4840,4468,4868,8776,7052,5674,8312,6098,8875
FUN_026058,860,1363,911,965,1577,1395,1100,1618,1501,1789
FUN_026126,370,454,361,408,626,483,467,534,504,638
FUN_026197,415,632,462,575,992,733,525,948,655,898
FUN_026280,261,367,211,345,506,375,391,459,417,558
FUN_026315,27,39,16,40,40,55,43,62,51,81
FUN_026381,623,904,244,553,1204,878,893,1261,1125,1277
